%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other.1,Other.2,Other.3,Other.4,Other.5,Other.6,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other.7,Timestamp (Formatted),Annotations
0,5.960026017226834,0.395797866665454,5.2395695572837795,3.2516930166589937,4.851025877112967,1.6501782217860779,5.163423130128024,1.1273268704026904,2.9573578753654743,-4.4026175079731615,-2.1508588888804354,-5.7062742896643215,1.8975180926219224,-8.491512600086097,-0.4210510999014332,-6.466447977129361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,6.145041088785632,2.648621042374316,3.3036435944964637,11.729849123711354,1.7192846081671433,3.0249796285277384,-0.4186094868803636,5.190648516975159,3.292780141263407,-1.6950803920391735,-8.745973583472633,-7.805673291798314,0.456075723687249,-7.187012710441962,-7.042295681329833,-6.804723651118039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,0.24390255790177662,0.9285795725265871,-0.8482442142186812,8.864765099160778,-2.203584034455048,-2.2718556887730585,-6.002323865932766,6.015046136131893,-3.616743498248013,-0.5659641494998198,-17.892318641073757,-4.711235046179809,-6.133728883974996,-3.969527423503976,0.06435307392625589,-2.8880085348727187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,-1.5046421220092725,-2.2214823654751115,-5.516141280907178,6.415028702068824,-7.615252471573996,-6.633316384569838,-9.991217254392083,-2.4285692260919376,-10.477382692693709,-2.6873491017702804,-21.154873076918307,2.864779939109468,-9.916558872010825,-1.03701020744883,12.321522260179364,6.346849165255021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,0.7136202989013327,-5.057921847301614,-5.1911638387318675,6.421950284135718,-6.602337405355186,-4.329879454062464,-5.97647190160707,-8.132511175375285,-9.847974543151764,-0.9414945295470432,-20.870670747403977,10.388507759622371,-9.620291421170037,1.7714802789090527,1.042843253529412,13.77894413894011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,-5.26160999769894,-11.255547614039756,-6.925786467786253,1.5889204424633192,-3.8872249366671667,-4.649192498590153,-3.5382225198492705,-2.8556059352075778,-6.959044237040956,1.0865426874652684,-16.613270950199436,11.219480935017913,-6.561895053176215,2.349386597481981,-7.557191659352995,8.900230344685651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,-7.939628479779941,-13.612751425477938,-11.14342406856909,0.5329521589652302,-7.192087295355947,-6.784340701063016,-8.861008627220968,1.8900222751143616,-8.248754939126897,0.7788434810729115,-6.4152777185150995,5.186734635509779,-0.9524433459704511,2.682888531452022,2.208553289560882,6.356095559836923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,-6.715070932192987,-15.661714302738233,-12.491013382507134,2.6568843483791795,-10.23738819914496,-5.869361995855172,-12.008035287386889,6.730813301584632,-9.402573021400826,-0.2963069371180964,-9.383534436129374,2.5039931507542406,-2.2824906362600856,2.6602773285048826,-0.3029186231824852,15.83058593571832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,-8.292466895689643,-14.822984951658356,-11.244145008197108,1.4583928514885258,-8.087345508562578,-6.2079800401326395,-9.031486362548208,1.7975374695373318,-9.247841163591218,-1.7516887709791646,-18.071801345438104,2.414227033010519,-3.023502507104922,-0.8506909811339654,-0.755239418936327,11.60003319250003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,-3.227407932524244,-7.626688409680128,-6.801819633798743,2.5200111631696416,-2.793672358960521,-6.914595434560653,-3.4424042294196795,-11.741529314129409,-5.545340873259981,-4.2364398482931485,-16.152660730115436,-4.679058548989303,3.8197933595896245,-5.987257781163951,13.214378238617495,1.286847882431612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
