%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other.1,Other.2,Other.3,Other.4,Other.5,Other.6,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other.7,Timestamp (Formatted),Annotations
0,18.08445837053799,5.101268624097706,5.370565133505693,3.014222912141147,4.335528448273351,-12.953215610575796,2.0663644251592643,-0.16855989866091647,-2.740491603925882,1.4042018418742082,4.574890518484146,-5.5543622509366095,-2.2360879991076814,-3.6553907079069017,4.61357974984122,-9.072767622819914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,14.9560182062237,4.3467387356873886,3.4923178574342906,4.440629611455645,5.913750278375545,-10.276568957904402,2.1036589816200504,-3.3169281120537306,-2.0313545603165517,0.7375628939042507,1.455298940743221,-9.59220923507432,-4.143013389915986,-5.465471946314278,-1.086338165207998,-12.750183815249498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,11.539801447439892,4.6190934412126765,3.7157062969011303,6.311972227016842,7.649329270485662,-7.600035359871342,5.898899735916068,-4.690448937168551,-1.1947701699746198,-2.59547912417199,-1.0752845967188147,-15.160324504728404,-5.911150663771196,-10.749493585274099,-8.475499000136516,-19.172053830174267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,14.99554075794461,5.524862540745843,6.683493208245838,3.16359896287144,9.685343561716016,-5.917911640785077,11.185720086950766,-3.813614173669574,4.18005608239565,-3.038182632646025,6.4561101008402115,-13.500564031906418,0.10884486358980805,-10.203615575931904,-0.2330744552936279,-14.91753897047712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,12.755396394061968,1.3326937058063137,3.967770464329348,-2.8569610772053338,7.709635609150176,-7.623466494487971,11.285344178867113,-5.778306840490622,7.232731469518215,-3.4747737759809416,12.51717737424596,-10.055220064206734,5.56580099509322,-7.24682610595374,8.586042637038283,-8.603222311407453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,7.27177897362165,-4.67099980131735,-2.2385885976890165,-7.768058109867372,4.3236492424913635,-9.68177602783949,5.106950660437093,-10.63319743595465,3.9699179761238756,-6.167894604643774,7.066700088733034,-9.487120386581966,1.5227116593254397,-7.620624326154841,1.1497323100787469,-8.613477778075689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,9.676918607219648,-0.9432400738195597,1.035558810114337,-3.8798246494196995,6.90638855827935,-1.038018502324519,3.8661291905328525,-7.906579176148448,2.5697261263895115,-5.847772957829994,1.778454615204174,-7.55030945305415,-2.8923268292175592,-7.529318561247372,-6.461675678566335,-8.328176784949854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,10.293907594933994,5.14729530917721,5.724947430344633,4.457551836834625,9.310470892934005,9.156976123568993,4.8715448186958525,-0.06200579485818025,4.262202731252316,-0.7035095993252316,3.7182595014992312,-3.3793578431103892,-1.5219279576695968,-4.222814672132959,-5.339201549733119,-7.8434170047821326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0.3083984101165811,-1.8942468076483507,-1.7696648911878716,-0.08508564541210362,3.308392600201996,6.720336724966595,-2.397135559326138,-1.5655470202005883,1.04453915190253,0.8174697672448126,1.2322243646343107,-2.717603995574583,-3.5665302039780897,-3.627555988023044,-6.350941588659854,-9.629726837596756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,-5.206032747860487,-6.922439379645507,-7.220873955347194,-7.7010599758458245,0.7298490486979095,5.9434358824464795,-6.350316431400763,-5.095289407388343,-0.3583709856367179,0.20508093038480268,-1.7457140820034294,-4.1185476081098,-4.23265963432851,-3.591221545235719,-6.9804994969676635,-9.734492644547478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,1.3428242115233644,-0.29443938126135905,-1.0394394457190224,-3.064547772627174,8.233874402731802,14.28755593578216,-2.4488072250603317,-2.454643058323491,4.495464631961667,2.9681145893692538,-0.6250194287857624,-2.7915973366251166,-0.30469947039470213,-1.36459169266762,-7.6161289533732415,-9.394521181683164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,7.073489262412483,4.37941730627422,5.005512765812295,3.2454645532372677,14.088135536840442,21.43919237148969,3.2703699184443913,0.16216849510087172,5.807905286768182,4.08587156066443,-1.3951334452670299,-1.441194805392314,-1.3070248994093632,-2.1476910260243187,-10.139009613934693,-10.246078228479993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,7.118067098477615,2.9476527939126065,5.681571382962077,3.0518076104784324,12.166278210842279,23.90613206801834,7.299339817515552,1.6802096298968316,6.113037876928203,5.401283850504157,1.7549438159585087,1.9489830638442527,-0.5863817534440727,-0.14130416293770054,-5.664900693885848,-6.380521673143627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,5.2403896353879125,-0.34319338447613124,3.6391523586071752,2.8018603400707316,7.848191612120001,23.015333944011072,1.520642482154135,2.4120777769241926,5.0752520280932245,6.429278394394252,3.9008281489267596,4.934051015140774,1.7162952813158512,2.849431941496924,-0.11281919494270909,-2.3294393777893343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,3.025086314039991,-1.2561806541811675,3.131281634909099,5.912758862876505,8.366564194431964,24.40519594842268,-4.878715667279207,2.4006243612236613,-0.21275104692296765,3.39735116598872,-2.184554916222446,2.9992681182244567,-2.3684658492893007,-0.5919991825509783,-2.8582092358288875,-4.3835776499543595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
