%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other,Other,Other,Other,Other,Other,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other,Timestamp (Formatted)
1,-0,0,-0,0,-0,0,0,0,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-34.2,-14.93,-18.66,-5.383,-17.37,-15.09,-10.12,-1.346,-26.38,6.933,-10.24,-11.5,-1.539,6.032,-7.144,-4.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-37.56,-18.02,-30.08,-11.07,-33.91,-25.62,-23.58,-2.954,-30.74,9.491,-25.74,-27.63,-4.07,8.504,-21.28,5.686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-48.2,-23.72,-49.78,-23.88,-43.53,-40.74,-41.85,-13.95,-30.15,12.23,-32.28,-35.41,1.376,18.81,-18.09,21.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-59.93,-28.22,-58.44,-29.51,-41.75,-52.34,-49.63,-22.91,-37.02,12.06,-29.86,-24.62,11.82,30,-4.809,26.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-54.1,-31.8,-58.85,-33.72,-41.41,-55.44,-48.67,-27.26,-36.8,0.0071,-28.93,-14.4,7.517,23.28,-3.025,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-51.2,-46.22,-71.79,-48.26,-41.89,-53.22,-51.9,-37.32,-27.44,-10.99,-19.41,-11.86,-3.58,11.97,1.286,17.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-43.61,-54.65,-67.09,-50.2,-29.27,-40.86,-48.89,-41.44,-22.23,-7.755,-3.984,-5.432,3.851,19.13,11.22,35.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-30.35,-44.8,-47.18,-39.18,-17.8,-28.04,-33.1,-32.08,-17.93,-1.584,-1.808,-5.58,16.97,33.8,11.62,37.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-31.04,-33.2,-46.51,-33.49,-19.95,-22.82,-17.39,-18.34,-12.34,1.039,-7.661,-12.48,12.98,32.12,4.133,16.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,-31.98,-33.81,-44.85,-28.04,-21.36,-16.93,-14.45,-8.831,-15.08,0.1394,-15.46,-12.39,1.811,15.39,-6.39,0.282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-26.06,-40.47,-27.1,-21.48,-15.67,-12.17,-19.34,-7.254,-16.96,-6.483,-24.14,-16.14,-3.344,3.905,-10.55,-3.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,-27.3,-40.38,-14.15,-17.1,-13.86,-12.91,-16.52,-5.942,-12.02,-10.24,-18.57,-24,-4.255,4.909,-3.135,-3.438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,-28.11,-36.79,-12.38,-12.38,-16.98,-12.34,-11.21,-4.352,-9.256,-6.619,-4.24,-19.52,-1.534,9.882,-2.613,-0.4782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-18.68,-32.58,-13.48,-7.131,-9.256,-5.624,-10.78,-6.996,-4.111,0.5546,-2.165,-13.02,2.655,14.2,-12.04,-4.292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-11.74,-20.84,-3.214,3.678,8.274,5.006,0.9556,1.687,1.674,11.96,-9.657,-14,4.605,17.53,-12.61,-12.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,-10.74,-8.118,18.1,17.45,18.54,17.42,24.19,22.35,5.619,22.71,-13.34,-9.143,8.869,23.24,-5.76,-3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
