%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other,Other,Other,Other,Other,Other,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other,Timestamp (Formatted),Annotations
1,0,-0,-0,0,-0,0,-0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T0
2,4.917,8.632,-14.07,3.1,-11.24,-13.81,3.493,4.6,6.457,-4.675,6.223,-1.802,-2.003,-0.1314,-0.3814,0.1738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,-11.35,-1.099,-19.67,-5.171,-13.28,-17.46,4.429,-1.293,21.12,-2.814,28.23,-1.792,-4.419,6.674,14.42,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,-11.42,-6.989,-23.71,-11.4,-8.123,-15.53,0.2848,4.473,26.85,-4.273,39.39,9.847,4.876,15.22,31.14,18.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,-3.246,-7.427,-38.6,-17.73,-11.56,-22.48,-14.71,7.289,23.81,-7.377,36.85,16.84,9.36,13.29,33.98,26.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,-9.072,-17.94,-51.05,-26.47,-16.46,-29.87,-27.58,-6.552,30.07,-7.989,42.94,13.51,-0.7827,8.432,32.57,23.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,-7.534,-30.18,-52.62,-29.82,-12.7,-30.69,-32.93,-16.27,33.92,-19.24,49.41,16.34,-2.966,11.31,34.42,26.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,-6.217,-37.75,-58.84,-32.89,-18.78,-38.42,-43.93,-22.7,19.47,-32.55,39.13,11.8,1.25,10.96,21.33,26.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,-23.55,-44.93,-69.5,-38.06,-37.19,-48.66,-48.49,-28.7,-10.42,-28.59,11.21,-13.26,-6.314,4.959,-9.854,14.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,-37.64,-47.64,-78.17,-45.48,-51,-52.04,-42.07,-26.06,-38.64,-24.54,-16.94,-37.18,-20.48,1.629,-29.96,2.315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,-34.94,-42.25,-84.42,-54.53,-57.22,-52.61,-44.43,-24.13,-25.53,-30,-16.23,-42.99,-28.73,-3.116,-28.93,-9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,-26.46,-32.04,-77.48,-51.85,-50.53,-42.21,-40.29,-23.06,17.44,-25.95,3.816,-29.2,-24.48,-8.229,-21.22,-12.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,-13.19,-18.04,-58.08,-35.99,-27.19,-17.1,-14.58,-12.27,31,-14.42,12.82,-3.939,-13.9,-11.53,-9.698,-9.549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
