%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other.1,Other.2,Other.3,Other.4,Other.5,Other.6,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other.7,Timestamp (Formatted),Annotations
1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T0
2,-8.354,1.3023,1.0898,10.824,-3.2493,5.684,-28.995,-7.9883,20.837,-10.152,18.909,11.961,9.9995,16.057,0.01824,12.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,-0.70887,7.6059,-0.82041,45.647,-6.4989,21.367,-15.989,1.0243,-3.3269,-17.303,18.818,17.92,9.9979,36.113,8.0378,29.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,1.9362,3.9106,6.2697,29.47,7.2524,28.05,5.0148,12.036,-24.491,-22.453,23.728,35.882,13.997,57.171,24.059,46.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,0.58294,-6.7851,19.36,-18.708,14.004,29.733,14.02,16.049,-13.653,-22.603,25.639,44.844,20.997,58.229,40.079,51.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,-7.7705,-10.481,18.452,9.1145,18.757,49.415,11.025,23.063,-33.814,-41.753,28.549,51.805,21.996,50.286,50.099,40.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,1.8767,-6.175,31.544,11.938,27.511,60.099,24.031,36.077,-21.975,-31.902,49.458,61.766,41.995,69.343,63.117,44.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,6.5233,15.13,32.636,16.764,24.264,-20.218,34.035,37.09,-18.137,-27.051,53.367,60.726,55.992,73.399,74.135,56.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,16.169,50.434,37.728,73.587,41.017,27.463,25.039,26.102,-3.2981,-17.201,66.275,44.685,26.99,66.453,75.153,55.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,52.814,61.737,64.818,81.409,59.769,76.145,32.042,25.113,26.54,20.65,70.183,27.643,8.9868,68.507,78.171,51.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,41.459,55.038,50.907,-4.7663,47.521,53.827,21.045,4.1234,5.3763,6.4983,52.092,-3.3981,-1.0162,41.562,67.189,27.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,55.104,54.339,58.996,-18.943,61.272,83.506,13.048,-5.8651,12.212,-0.65338,62.999,7.5608,17.981,55.616,55.207,16.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,64.749,64.64,87.085,30.879,80.023,91.187,47.051,30.147,40.048,19.195,81.906,56.521,58.979,84.671,60.225,42.289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,86.393,65.941,88.174,91.702,86.775,62.867,67.052,68.158,50.884,23.043,90.813,78.48,65.977,92.726,74.243,79.313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,82.037,70.241,96.263,108.53,93.527,117.55,68.054,88.168,36.72,20.892,97.719,86.436,56.972,88.779,78.258,87.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,52.681,58.541,79.35,42.348,74.277,57.227,55.053,81.177,5.5541,20.741,66.624,71.392,39.966,62.83,65.272,70.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,30.326,40.839,51.437,34.172,56.027,41.908,28.054,64.185,2.3878,15.588,41.53,74.348,47.96,49.882,46.285,56.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,33.972,20.136,40.525,64.995,38.778,59.589,22.055,54.195,3.2228,3.4366,37.434,63.303,33.954,47.934,34.299,51.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,27.618,-22.565,5.6126,21.819,5.5294,26.269,5.0558,16.204,3.0589,-21.715,28.339,34.258,12.948,29.985,30.312,43.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,32.265,-4.2677,10.701,33.643,15.282,33.95,-6.9432,-0.78582,-4.1048,-7.8667,54.245,50.215,34.943,56.038,46.326,43.428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,35.911,24.028,41.788,20.465,39.033,48.632,29.057,18.223,16.729,2.9812,72.152,66.171,57.936,68.09,63.339,51.449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,19.557,24.321,40.875,4.2876,41.784,27.313,33.057,23.231,2.5625,10.828,43.058,57.126,55.93,49.141,63.353,50.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,24.203,29.613,44.961,16.109,48.535,32.995,24.058,25.24,-6.6038,3.675,57.963,62.083,51.924,63.192,67.367,53.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,46.85,30.905,59.048,32.93,57.286,59.675,33.059,32.25,13.23,17.522,52.868,60.04,36.921,66.243,73.381,54.518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,43.498,17.199,55.136,61.756,58.039,1.3588,38.061,28.261,12.065,1.3709,41.775,34.998,15.917,52.296,65.396,37.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,41.146,37.49,72.223,79.581,71.792,39.043,40.062,24.271,-3.1001,0.21911,86.681,31.956,25.913,75.349,70.41,28.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,28.794,34.78,60.31,12.404,59.544,49.725,56.063,16.28,12.734,12.068,92.586,19.911,24.908,73.4,70.424,20.586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,15.444,18.071,34.398,-12.773,37.298,35.408,37.064,6.2889,-4.4293,-6.082,79.493,37.866,31.902,57.451,64.437,18.607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,24.093,20.36,17.485,21.049,16.051,55.091,5.0626,11.297,-32.594,-14.232,69.398,68.822,55.896,54.501,67.448,38.627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,31.743,25.649,4.5724,52.869,10.805,66.773,-16.937,27.305,-48.757,-5.3808,59.302,54.776,34.889,31.551,59.459,32.646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,16.395,5.9372,0.66048,37.693,6.5599,6.4567,-30.935,16.314,-38.918,-35.529,17.208,39.731,28.882,6.6027,22.47,-8.3353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,27.049,13.226,18.75,60.522,21.316,43.143,-17.933,17.324,-18.079,-31.676,29.115,54.688,36.876,24.656,0.482,-29.315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,68.703,32.516,49.839,67.347,55.073,67.83,34.069,34.335,29.761,4.1779,55.022,67.645,47.871,48.708,8.4932,-24.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,44.357,7.8048,32.929,26.172,28.831,18.517,44.07,31.346,10.601,0.03246,40.928,47.603,38.867,24.759,13.504,-16.271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,21.011,18.093,17.018,47.001,18.588,3.2016,19.07,4.357,-16.559,-16.113,12.832,33.56,32.864,9.8085,2.5143,-25.248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,43.665,32.38,38.106,42.827,41.345,57.885,26.068,21.366,18.28,10.741,-0.2635,30.518,24.86,10.857,-10.477,-41.227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,38.321,23.665,50.194,39.652,47.102,27.57,27.067,30.376,-11.881,10.594,19.641,35.475,20.855,28.906,-2.4678,-40.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,28.977,-4.0505,45.283,22.478,46.86,27.254,15.068,27.388,-15.041,-10.552,13.546,28.432,6.8497,15.955,9.5423,-33.183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,30.634,4.2345,55.372,76.306,57.619,37.941,5.0699,38.401,5.8,8.3027,31.452,51.391,30.845,44.004,27.553,-14.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,39.292,2.52,51.463,67.136,48.38,34.627,27.072,51.413,16.642,10.159,64.357,44.35,27.842,63.055,41.562,1.8653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,16.951,-16.194,39.556,-12.034,45.143,22.317,34.074,24.427,-12.513,-0.98223,67.264,22.309,16.839,57.106,41.571,-0.11116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,28.612,-12.909,63.648,18.797,65.906,59.007,39.077,17.441,6.33,28.877,84.171,42.268,34.835,86.156,52.582,22.914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,55.276,-26.624,60.741,23.628,60.671,50.699,51.082,28.456,21.175,29.737,78.081,41.227,31.832,74.207,60.596,42.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,38.942,-41.338,32.836,29.46,37.438,17.394,20.088,14.471,5.0227,8.5988,34.993,23.188,22.83,29.262,39.611,18.969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,21.609,-25.053,32.932,75.292,33.206,34.09,-14.906,18.487,-7.1299,-0.53894,26.907,25.15,25.829,24.317,16.624,-8.0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
46,36.276,-4.7701,45.026,32.121,50.972,14.783,7.0982,30.5,-9.284,14.322,23.817,2.1103,-0.17468,16.368,0.63511,-25.977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
47,46.941,6.5118,50.118,39.954,54.738,36.476,17.1,14.514,1.5611,21.183,38.724,2.0698,-6.1784,21.418,-1.3574,-33.951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
