%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other,Other,Other,Other,Other,Other,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other,Timestamp (Formatted),Annotations
1,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T0
2,20.837,-10.152,-8.354,1.3023,1.0898,-3.2493,5.684,10.824,-28.995,-7.9883,18.909,9.9995,16.057,11.961,0.01824,12.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,-3.3269,-17.303,-0.70887,7.6059,-0.82041,-6.4989,21.367,45.647,-15.989,1.0243,18.818,9.9979,36.113,17.92,8.0378,29.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,-24.491,-22.453,1.9362,3.9106,6.2697,7.2524,28.05,29.47,5.0148,12.036,23.728,13.997,57.171,35.882,24.059,46.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,-13.653,-22.603,0.58294,-6.7851,19.36,14.004,29.733,-18.708,14.02,16.049,25.639,20.997,58.229,44.844,40.079,51.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,-33.814,-41.753,-7.7705,-10.481,18.452,18.757,49.415,9.1145,11.025,23.063,28.549,21.996,50.286,51.805,50.099,40.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,-21.975,-31.902,1.8767,-6.175,31.544,27.511,60.099,11.938,24.031,36.077,49.458,41.995,69.343,61.766,63.117,44.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,-18.137,-27.051,6.5233,15.13,32.636,24.264,-20.218,16.764,34.035,37.09,53.367,55.992,73.399,60.726,74.135,56.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,-3.2981,-17.201,16.169,50.434,37.728,41.017,27.463,73.587,25.039,26.102,66.275,26.99,66.453,44.685,75.153,55.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,26.54,20.65,52.814,61.737,64.818,59.769,76.145,81.409,32.042,25.113,70.183,8.9868,68.507,27.643,78.171,51.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,5.3763,6.4983,41.459,55.038,50.907,47.521,53.827,-4.7663,21.045,4.1234,52.092,-1.0162,41.562,-3.3981,67.189,27.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,12.212,-0.65338,55.104,54.339,58.996,61.272,83.506,-18.943,13.048,-5.8651,62.999,17.981,55.616,7.5608,55.207,16.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,40.048,19.195,64.749,64.64,87.085,80.023,91.187,30.879,47.051,30.147,81.906,58.979,84.671,56.521,60.225,42.289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,50.884,23.043,86.393,65.941,88.174,86.775,62.867,91.702,67.052,68.158,90.813,65.977,92.726,78.48,74.243,79.313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,36.72,20.892,82.037,70.241,96.263,93.527,117.55,108.53,68.054,88.168,97.719,56.972,88.779,86.436,78.258,87.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,5.5541,20.741,52.681,58.541,79.35,74.277,57.227,42.348,55.053,81.177,66.624,39.966,62.83,71.392,65.272,70.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,2.3878,15.588,30.326,40.839,51.437,56.027,41.908,34.172,28.054,64.185,41.53,47.96,49.882,74.348,46.285,56.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,3.2228,3.4366,33.972,20.136,40.525,38.778,59.589,64.995,22.055,54.195,37.434,33.954,47.934,63.303,34.299,51.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,3.0589,-21.715,27.618,-22.565,5.6126,5.5294,26.269,21.819,5.0558,16.204,28.339,12.948,29.985,34.258,30.312,43.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,-4.1048,-7.8667,32.265,-4.2677,10.701,15.282,33.95,33.643,-6.9432,-0.78582,54.245,34.943,56.038,50.215,46.326,43.428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,16.729,2.9812,35.911,24.028,41.788,39.033,48.632,20.465,29.057,18.223,72.152,57.936,68.09,66.171,63.339,51.449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,2.5625,10.828,19.557,24.321,40.875,41.784,27.313,4.2876,33.057,23.231,43.058,55.93,49.141,57.126,63.353,50.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
